id,distrito,candidato,cargo,frente_alianza,actividad_actual,referente,agrupacion,alineamiento,particularidades,the_geom,cartodb_id,created_at,updated_at
15,Vicente Lopez,A. Gonzalez,Intendente,PROGRESISTAS,,,,,,,92,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
15,Vicente Lopez,Oscar Corradi,Intendente,PROGRESISTAS,,,,,,,93,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
16,Berazategui,Patricio Mussi,Intendente,FPV,INTENDENTE,Juan José Mussi,LOS OKTUBRES,Dominguez,Asumió en 2010 en reemplazo de su padre. En 2011 ganó con el 70%. Su padre ganó la int por 1° vez en 1987,,94,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
16,Berazategui,Gabriel Kunz,Intendente,CAMBIEMOS,PRIVADA,Jorge Macri,PRO,Vidal,Dirigente del PRO local. ,,95,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
16,Berazategui,Argentino Geneiro,Intendente,UNA,CONCEJAL,Duhalde,,,,,96,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
17,Malvinas Argentinas,Leonardo Nardini,Intendente,FPV,TIT DEL ANSES LOCAL,Alicia Kirchner,KOLINA,Dominguez,Tiene el apoyo de SMATA,,97,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
17,Malvinas Argentinas,Silvio Lescano,Intendente,FPV,,Fernando Abal Medina,DESCAMISADOS,,Muy cercano a La Cámpora,,98,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
17,Malvinas Argentinas,Alberto Czerni,Intendente,CAMBIEMOS,,Emilio Monzó,PRO,Vidal,,,99,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
17,Malvinas Argentinas,Jesús Cariglino,Intendente,UNA,INTENDENTE,,PJ,Sola,Int desde 1995. Estuvo alineado con el FPV pero en 2011 compitió por el FP de Duahalde y sacó el 47% contra 17% de Vivona el cand del FPV. ,,100,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
17,Malvinas Argentinas,Hector Valdivia,Intendente,UNA,,,PERÓN VIVE,Sola,Era el candidato de Giustozzi.,,101,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
17,Malvinas Argentinas,Horacio Quiroz,Intendente,PROGRESISTAS,,,,,,,102,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
17,Malvinas Argentinas,Gabriela Aranda,Intendente,PROGRESISTAS,,,,,,,103,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
18,San Miguel ,Franco La Porta,Intendente,FPV,FUNC PBA,Scioli,,,"Ex dip prov, fue el mentor de de la Torre",,104,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
18,San Miguel ,Francisco Coll Areco,Intendente,FPV,SEN PROV,Scioli,,,Está negociando el apoyo de Rico. ,,105,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
18,San Miguel ,Carlos Tapia,Intendente,FPV,SUBSEC DEP SOC - PBA,Scioli,,,Fue la primera opción de Scioli pero no mide. ,,106,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
18,San Miguel ,Bruno Baschetti,Intendente,FPV,CONCEJAL,Sabbatella,PERONISMO MILITANTE,Fernandez,Presidente del bloque del FPV,,107,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
18,San Miguel ,Octavio Frigerio,Intendente,CAMBIEMOS,,,PRO,Vidal,"Padre de Rogelio, ex embajador, ex dip nac y ex grupo Clarín. Tiene el apoyo de Santiago Cúneo. ",,108,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
18,San Miguel ,Joaquín De La Torre,Intendente,UNA,INTENDENTE,,,Sola,Ganó en 2007 por el FPV con el 28% y en 2011 sacó 53% contra el 23% de Rico. Fue asesor de Solá durante su gobernación. Entre 2005 y 2oo7 fue presidente de Regatas de Bella Vista.  ,,109,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
18,San Miguel ,P. Grahmann,Intendente,PROGRESISTAS,,,,,,,110,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
18,San Miguel ,F. Gonzalez,Intendente,PROGRESISTAS,,,,,,,111,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
20,José C. Paz,Mario Ishi,Intendente,FPV,SEN PROV,,PJ,,Fue intendente del 99 a 2007 cuando obtuvo el 62%. En 2011 le dejó su lugar a Carlos N Urquiaga quien intentó disputarle el poder. ,,120,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
20,José C. Paz,Ezequiel Pazos,Intendente,CAMBIEMOS,DIR MAyEP - GCBA,,PRO,Vidal,,,121,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
14,Morón,Pablo Navarro,Intendente,FPV,FUNC PBA,Scioli,,,Es el candidato de Scioli.,,79,2015-08-08 13:51:57.537873+00,2015-08-08 14:04:14.607711+00
19,Esteban Echeverría,Fernando Gray,Intendente,FPV,INTENDENTE,,,,Asumió en 2007 con el 24% desbancando a Groppi. En 2011 fue reelegido con el 63%. En 2013 su mujer Magdalena Goris encabezó la lista de concejales y perdió a manos del FR.  ,,112,2015-08-08 13:51:57.537873+00,2015-08-08 14:17:36.378148+00
19,Esteban Echeverría,Alberto Dodero,Intendente,FPV,DIR AYSA,Sabbatella,NUEVO ENCUENTRO,Fernandez,Vinculado históricamente a Granados. En 2011 le hizo internas a Gray presentando colectora por  NE.,,113,2015-08-08 13:51:57.537873+00,2015-08-08 14:17:36.378148+00
19,Esteban Echeverría,Evert Van Tooren,Intendente,CAMBIEMOS,,Jorge Macri,PRO,Vidal,Fue concejal y candidato a dip prov por el FR.,,114,2015-08-08 13:51:57.537873+00,2015-08-08 14:17:36.378148+00
19,Esteban Echeverría,Nestor Pulichino,Intendente,UNA,CONCEJAL,,,Sola,"Presidente del HCD, era hombre de Giustozzi.",,115,2015-08-08 13:51:57.537873+00,2015-08-08 14:17:36.378148+00
19,Esteban Echeverría,Roberto Devoto,Intendente,UNA,CONCEJAL,Caamaño,,Sola,,,116,2015-08-08 13:51:57.537873+00,2015-08-08 14:17:36.378148+00
19,Esteban Echeverría,Fernando Sousa,Intendente,UNA,CONCEJAL,De Narvaez,,Sola,,,117,2015-08-08 13:51:57.537873+00,2015-08-08 14:17:36.378148+00
19,Esteban Echeverría,Gabriel Camera,Intendente,PROGRESISTAS,,,,,,,118,2015-08-08 13:51:57.537873+00,2015-08-08 14:17:36.378148+00
20,José C. Paz,Fabian Carballo,Intendente,UNA,EMPRESARIO,,,,Lo señalan como socio de Ishii en muchos negocios. Está casado con la modelo Natalia Fassi. ,,122,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
20,José C. Paz,Cristian García,Intendente,PROGRESISTAS,,,,,,,123,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
21,Hurlingham,Juan Zabaleta,Intendente,FPV,CONCEJAL,,,,En 2013 encabezó la lista. Es apoyado por Anibal y Sabbatella. No es de La Cámpora pero es muy afín. ,,124,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
21,Hurlingham,Lucas Delfino,Intendente,CAMBIEMOS,CONCEJAL,Rogelio Frigerio,PRO,Vidal,,,125,2015-08-08 13:51:57.537873+00,2015-08-08 14:02:25.331019+00
