cabecera,departamento,codigo,the_geom,cartodb_id,created_at,updated_at
SAN MIGUEL,SAN MIGUEL,06760,0101000020E610000040E1B545FA594DC07433FF8FE34641C0,82,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
SAN ANDRES DE GILES,SAN ANDRES DE GILES,06728,0101000020E6100000A3F17B1506BD4DC074BC00D0E83641C0,83,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
MERCEDES,MERCEDES,06532,0101000020E6100000084EE71950B74DC0F4F60040625941C0,84,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
DOLORES,DOLORES,06238,0101000020E6100000B25B89CA96CC4CC0C4190000993642C0,85,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
JUNIN,JUNIN,06413,0101000020E61000006FE631E5897F4EC0744F00C06F4841C0,86,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
GENERAL VILLEGAS,GENERAL VILLEGAS,06392,0101000020E610000042CF457AE87F4FC0C8C564E60C6541C0,87,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
HURLUNGHAM,HURLINGHAM,06408,0101000020E6100000AC442B30B5534DC04029FFFF844C41C0,88,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
CASEROS,TRES DE FEBRERO,06840,0101000020E6100000D8F3020F04484DC0BC6E35DE024D41C0,89,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
MORON,MORON,06568,0101000020E610000094FEB094484F4DC05C3F0020BC5241C0,90,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
LAPRIDA,LAPRIDA,06448,0101000020E6100000B9D011D32F524EC0283500909DBC42C0,91,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
JOSE C. PAZ,JOSE C PAZ,06412,0101000020E610000022200427D3634DC0785FFFEF944041C0,92,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
GENERAL SAN MARTIN,GENERAL SAN MARTIN,06371,0101000020E6100000CAD00B61BB494DC06841FF6F924541C0,93,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
MARIANO MORENO,MORENO,06560,0101000020E6100000BF95E6639A664DC02C45FFBF624C41C0,94,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
LINCOLN,LINCOLN,06469,0101000020E6100000AA6F22E029E74EC04C8700404B8F41C0,95,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
MONTE GRANDE,ESTEBAN ECHEVERRIA,06260,0101000020E6100000BD445BD90E3D4DC09C7EFFCF896941C0,96,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
FLORENCIO VARELA,FLORENCIO VARELA,06274,0101000020E61000006B4D506F81204DC0A02D00F09C7141C0,97,2015-07-29 04:20:50.960318+00,2015-07-29 04:20:50.960318+00
